date,stockcode,sector,foreign_percentage,price_return_10d,cumsumnetvalue_ma10,positive_net_ratio_10d
2025-12-30,RALS,RETAIL TRADE,5.36,0.019512195121951237,-197993471416.34088,0.5
2025-12-30,HEXA,WHOLESALE (DURABLE & NON DURABLE GOODS),13.42,-0.006928406466512715,-179456966985.42377,0.0
2025-12-30,BBKP,BANK,18.47,0.026666666666666616,-164301165571.81348,0.6
2025-12-30,ULTJ,FOOD & BEVERAGES,8.75,-0.020408163265306145,-156115674655.54623,0.2
2025-12-30,RAJA,INVESTMENT COMPANY,4.56,-0.05058365758754868,-149822718039.3825,0.2
2025-12-30,BNGA,BANK,94.05,0.028735632183908066,-139860188684.6734,0.4
2025-12-30,POWR,ENERGY,6.23,0.0,-137769060367.2083,0.8
2025-12-30,PRDA,HEALTH CARE,22.88,-0.025423728813559365,-135578545145.84824,0.7
2025-12-30,JRPT,PROPERTY AND REAL ESTATE,19.59,0.0046511627906977715,-133921794808.90927,0.0
2025-12-30,ROTI,FOOD & BEVERAGES,55.86,-0.0062893081761006275,-133211248932.68118,0.3
2025-12-30,CPRO,FISHERY,32.0,0.032786885245901676,-131886803885.3534,0.5
2025-12-30,TEBE,"OTHERS - INFRASTRUCTURE, UTILITIES & TRANSPORTATIO",12.85,0.15486725663716805,-131706180457.35269,0.5
2025-12-30,BUVA,"RESTAURANT, HOTEL & TOURISM",8.87,-0.12578616352201255,-128082598909.9003,0.7
2025-12-30,APEX,CRUDE PETROLEUM & NATURAL GAS PROD.,52.6,-0.09302325581395354,-121993168839.74321,0.6
2025-12-30,ASRI,PROPERTY AND REAL ESTATE,3.65,-0.0060975609756097615,-119135764430.6788,0.2
2025-12-30,NICE,METAL AND MINERAL MINING,10.05,-0.05797101449275366,-117881514514.59721,0.6
2025-12-30,FAST,FOOD & BEVERAGES,14.72,-0.01680672268907568,-117007786991.79855,0.4
2025-12-30,JARR,PLANTATION,0.03,-0.041543026706231445,-110647753210.12798,0.3
2025-12-30,AGRO,BANK,0.12,0.0,-110199721743.81992,0.4
2025-12-30,IATA,"OTHERS - TRADE, SERVICES & INVESTMENT",15.19,0.29729729729729737,-107930242066.85896,0.2
2025-12-30,KKGI,COAL MINING,55.64,0.030864197530864113,-105443971560.76643,0.5
2025-12-30,INET,TELECOMUNICATION,1.4,-0.10059171597633132,-103258164629.27844,0.3
2025-12-30,HILL,CONSTRUCTION,5.09,-0.006711409395973145,-102418913866.74101,0.3
2025-12-30,NINE,COMPUTER AND SERVICES,21.0,-0.3354838709677419,-102332621156.91103,
2025-12-30,PYFA,PHARMACEUTICALS,65.75,-0.10188679245283017,-102039570865.60905,0.5
2025-12-30,MLPL,OTHERS - MISCELLANENEOUS INDUSTRY,24.32,-0.14197530864197527,-101390139799.98212,0.6
2025-12-30,CASA,FINANCIAL INSTITUTION,3.32,0.006250000000000089,-93722264349.31296,0.4
2025-12-30,WOOD,WOOD INDUSTRIES,1.22,-0.02577319587628868,-93220747286.37744,0.1
2025-12-30,BHIT,INVESTMENT COMPANY,66.26,0.054054054054053946,-88547104366.78899,0.0
2025-12-30,BDMN,BANK,94.33,0.012295081967213184,-86744006630.94844,0.7
2025-12-30,ADHI,BUILDING CONSTRUCTION,1.21,0.1166666666666667,-81224341297.29517,0.7
2025-12-30,ARTO,BANK,37.4,-0.012499999999999956,-79607193404.97667,0.5
2025-12-30,SMDR,TRANSPORTATION,2.79,0.2250000000000001,-74986919312.47379,0.6
2025-12-30,PANI,INVESTMENT COMPANY,6.45,-0.08029197080291972,-71755937043.98203,0.7
2025-12-30,SMKM,BUILDING CONSTRUCTION,13.04,0.4521739130434783,-70408668509.12248,0.1
2025-12-30,TPMA,TRANSPORTATION,2.39,0.027272727272727337,-69291963152.68094,0.6
2025-12-30,LPKR,PROPERTY AND REAL ESTATE,43.45,-0.023255813953488413,-66818007942.00897,0.3
2025-12-30,IPTV,"ADVERTISING,PRINTING and MEDIA",20.03,0.2857142857142858,-66583615065.82113,1.0
