,date,sub_sector,close,foreignbuyvalue,foreignsellvalue,foreignnetvalue,cumsumnetvalue,cumsumnetvalue_ma5,cumsumnetvalue_ma10,cumsumnetvalue_ma20,foreignnetvalue_ma10,foreignnetvalue_ma20,ma5_slope,ma10_slope,flow_phase,positive_net_ratio_10d,price_return_10d,vision_group,relevancy,source,target,rsi_daily,rsi_weekly,rsi_monthly
10679,2025-12-30,crops,5641.897105181977,51305314.07617603,39041261.767458916,12264052.308717117,-63871652159005.664,-63876940865722.95,-63742302886660.875,-63545845116468.234,-27088436649.78828,-18015887246.480515,-47342147004.24219,-27088436649.796875,Distribution,0.5,0.1277659169319294,,,,,42.59030817775046,52.23230235133598,82.05367507629165
11391,2025-12-30,crude petroleum & natural gas prod.,2517.089618164782,190314805122.67426,171072451797.54367,19242353325.130585,-63852409805680.53,-63873230219412.92,-63767796647216.5,-63562851993703.23,-25493760555.62619,-17006877234.998587,3710646310.03125,-25493760555.625,Distribution,0.5,2.8529336632812132,,,,,46.28540667133272,49.51441802921387,60.24400466550377
12103,2025-12-30,electronics,141.16688385715292,233339850.08697823,421215747.0532622,-187875896.96628395,-63852597681577.5,-63866462086744.25,-63793313299345.484,-63579907066096.48,-25516652128.99683,-17055072393.247885,6768132668.671875,-25516652128.984375,Distribution,0.4,-0.7945272113345524,Green Energy / Digital Infra,Medium,Pengembangan kendaraan listrik dan smart infra,Konversi BBM ke listrik dan gas (volume unspecified),45.623098046261575,49.598437078610125,45.690256774472296
12815,2025-12-30,energy,597.4963347563327,194238449595.68396,163665371443.42004,30573078152.263916,-63822024603425.234,-63854069734549.375,-63815098605111.98,-63601004247548.914,-21785305766.48812,-21097181452.42821,12392352194.875,-21785305766.492188,Distribution,0.5,-0.8838242998124946,Green Energy,High,Indonesia sebagai super power energi hijau,"437 GW potensi EBT, B50 biodiesel, E10 ethanol",46.44099470997792,50.62229808648571,46.11375846346084
13527,2025-12-30,financial institution,508.6081013671303,4667355278.708439,3179840090.1609397,1487515188.5474992,-63820537088236.69,-63843844267585.125,-63836721493151.914,-63624942452541.45,-21622888039.940533,-23938204992.542187,10225466964.25,-21622888039.9375,Neutral,0.6,0.10020233216596153,Finance,Medium,Sistem pembiayaan ultra mikro (UMi),"Kredit start-up, millennial, UMKM diperbanyak (no value)",45.89542249426056,44.26438508615158,49.64037089720243
14239,2025-12-30,fishery,2510.632992910605,6460702911.219405,1802983186.895843,4657719724.323563,-63815879368512.37,-63832689709486.46,-63854815287604.7,-63648645029480.29,-18093794452.78574,-23702576938.840614,11154558098.664062,-18093794452.789062,Neutral,0.7,-0.28304652049130596,Agriculture / Maritime,High,"Perikanan laut dalam, coastal aquaculture",12 juta ton produksi tangkap lestari per tahun,63.28847284664248,53.8172363430755,89.49445220095622
14951,2025-12-30,food & beverages,4437.336809571882,43714277676.2648,43451731959.64648,262545716.61832428,-63815616822795.75,-63825331112909.516,-63849280666161.21,-63678580045033.5,5534621443.490448,-29935015553.215443,7358596576.9453125,5534621443.4921875,Accumulation,0.8,-0.42987717811637804,Agriculture,High,"Food estate: padi, jagung, singkong, kedelai, tebu",4 juta ha tambahan luas panen tanaman pangan,49.9856288231325,48.96304843875088,43.39237277790693
15663,2025-12-30,footwear,69.11759384893713,0.0,3801467.6616915422,-3801467.6616915422,-63815620624263.414,-63817935701446.69,-63842198894095.46,-63709008070809.086,7081772065.743795,-30428025775.578026,7395411462.828125,7081772065.75,Accumulation,0.8,-0.9670133230907692,Manufacturing,Low,Not mentioned,-,54.927136477285266,53.37100661279463,45.12312309954504
16375,2025-12-30,forestry,19.306404735097374,0.0,0.0,0.0,-63815620624263.414,-63816654905614.33,-63835362320081.86,-63739442337780.016,6836574013.617651,-30434266970.937614,1280795832.359375,6836574013.6015625,Accumulation,0.7,-0.9121086344026498,Agriculture,Medium,Penghijauan dan reforestasi,20 juta ha rehabilitasi hutan,48.928627682252944,50.68796875716368,43.494104553298264
17087,2025-12-30,health care,1708.902470570081,14515561716.80888,28945433511.012222,-14429871794.203342,-63830050496057.62,-63818557587178.516,-63831200927381.83,-63773207688696.45,4161392700.0361924,-33765350916.430286,-1902681564.1875,4161392700.03125,Accumulation,0.6,-0.027196140192603413,Healthcare,High,Cek kesehatan gratis dan penguatan BPJS,Hospital in every kabupaten,48.98704859869314,48.01014441289744,58.02478148062975
17799,2025-12-30,houseware,228.51296893847757,436707694.323493,547209619.9509382,-110501925.62744522,-63830160997983.24,-63821413913072.69,-63827051811279.58,-63784677348970.23,4149116102.2425756,-11469660273.772974,-2856325894.171875,4149116102.25,Neutral,0.5,-0.9594971399374524,Consumer Goods,Low,Not mentioned,-,46.02829886464681,45.42369765672458,55.54784786319723
18511,2025-12-30,insurance,398.99536077488415,5982103218.968836,6714521178.752194,-732417959.7833586,-63830893415943.02,-63824469231702.14,-63824900172305.83,-63796348409761.164,2151638973.7511816,-11671060790.937626,-3055318629.453125,2151638973.75,Neutral,0.4,-0.8414854370319191,Finance,Medium,Proteksi ekonomi untuk keluarga,Perluasan jangkauan asuransi rakyat,47.38620350131104,46.87219150703314,47.35469433592897
19223,2025-12-30,investment company,6430.392504048488,41198849327.842575,103446861586.26917,-62248012258.42659,-63893141428201.45,-63839973392489.75,-63828954546968.21,-63811133923156.86,-4054374662.394849,-14785513395.69596,-15504160787.609375,-4054374662.3828125,Distribution,0.4,44.5517068050848,Finance,Medium,Mobilisasi dana untuk hilirisasi,23% penerimaan negara dari PDB,52.49191184532568,49.27633814382451,51.64072439658945
19935,2025-12-30,land/stone quarrying,6118.151508812598,71386233702.20634,94449702242.16853,-23063468539.96219,-63916204896741.414,-63860090246985.35,-63838372576299.836,-63826735590705.9,-9418029331.617458,-15601667549.052912,-20116854495.601562,-9418029331.625,Distribution,0.3,9.239646928223694,Infrastructure,Medium,Bahan baku pembangunan infrastruktur,"3 juta rumah, >320k km jalan",49.766993904436276,40.48511989296363,50.494203632829425
20647,2025-12-30,machinery and heavy equipment,320.13001170459506,5366678143.994143,2149246924.2207775,3217431219.773365,-63912987465521.64,-63876677640878.15,-63847617614028.336,-63842169553590.125,-9245037728.494873,-15433962884.217825,-16587393892.796875,-9245037728.5,Distribution,0.3,-0.3705762632484799,Infrastructure,High,Mekanisasi pertanian & konstruksi,Modernisasi alat berat & traktor,42.59906072039452,50.1087864663482,62.01943409093756
21359,2025-12-30,metal and allied products,1442.618965587967,34860481969.12072,63325280993.34497,-28464799024.22425,-63941452264545.87,-63898935894190.67,-63860174903631.69,-63857495095618.19,-12557289603.349653,-15325542028.06782,-22258253312.523438,-12557289603.351562,Distribution,0.2,-0.4253963165219451,Mining,High,Hilirisasi logam & smelter,Investasi hilirisasi multi-mineral,56.34846434974112,49.61293879262527,64.23779686112195
22071,2025-12-30,metal and mineral mining,1694.0175473879117,620055662743.3563,853491392009.977,-233435729266.62073,-64174887993812.484,-63967734809764.58,-63896102020733.36,-63872691343447.27,-35927117101.67356,-15196247829.091679,-68798915573.90625,-35927117101.671875,Distribution,0.1,-0.6182355272798524,Mining,High,"Hilirisasi nikel, tembaga, timah, bauksit",Kenaikan ekspor produk olahan,56.34539455025219,54.528072326949506,51.29134645614093
22783,2025-12-30,non building construction,1784.8888420125525,19548421614.380142,25566469814.184303,-6018048199.804161,-64180906042012.29,-64025287732526.734,-63932630562508.25,-63887414728301.85,-36528541774.8878,-14723384854.572128,-57552922762.15625,-36528541774.890625,Distribution,0.1,24.823943552109053,Infrastructure,High,"Jalan desa, irigasi, pelabuhan",">320,000 km jalan, bendungan & irigasi",56.112309154368795,48.0802465042708,60.26093814861343
23495,2025-12-30,other - basic industry and chemicals,1761.9942743036672,59991732994.302666,87659628892.49849,-27667895898.195824,-64208573937910.484,-64083761540760.55,-63971925893872.95,-63903644106977.4,-39295331364.70739,-16229378675.544992,-58473808233.8125,-39295331364.703125,Distribution,0.1,90.26475376850016,Chemicals,Medium,Pendukung hilirisasi dan pertanian,Perluasan industri bio-pupuk,51.1021385965578,44.096026553485025,46.55075246495888
24207,2025-12-30,other sectors,241.4321924012839,456290513.7524552,404278803.82485545,52011709.92759973,-64208521926200.555,-64142868432896.336,-64009773036887.234,-63920486982134.54,-37847143014.2943,-16842875157.129175,-59106892135.78906,-37847143014.28125,Distribution,0.2,-0.8587209062195671,Varies,Varies,-,-,50.0924583116727,58.48188268121077,49.42016464865962
24919,2025-12-30,others - agriculture,741.148251234114,3038707.8300598674,159050414.71484086,-156011706.884781,-64208677937907.44,-64196313567568.65,-64047624730879.664,-63937338271079.61,-37851693992.42003,-16851288945.088848,-53445134672.3125,-37851693992.42969,Distribution,0.2,2.243353122043821,Agriculture,High,Food estate dan ketahanan pangan,4 juta ha tambahan sawah,33.15519965463132,53.5396949571321,56.22633599665865
25631,2025-12-30,others - consumer goods industry,200.39774779946137,3079451079.057218,3188884491.109445,-109433412.05222702,-64208787371319.49,-64203093443070.05,-64085414126417.31,-63955157149361.56,-37789395537.64692,-17818878281.94799,-6779875501.3984375,-37789395537.64844,Distribution,0.2,-0.4977441657209465,Consumer Goods,Low,Tidak disebutkan,-,47.45609742925825,55.31854909185847,51.79734301890929
26343,2025-12-30,others - finance,8395.43031576795,53828245239.92742,22238929664.424564,31589315575.502857,-64177198055743.99,-64202351845816.39,-64113819789171.58,-63971387168069.89,-28405662754.253975,-16230018708.32453,741597253.65625,-28405662754.265625,Distribution,0.3,0.30558598257918157,Finance,Medium,Ekosistem pembiayaan digital,Pembiayaan UMKM dan start-up,53.488911893011924,49.90257383679726,56.194846137287314
27055,2025-12-30,"others - infrastructure, utilities & transportatio",1818.7796996550967,25245646932.815495,20877421566.626842,4368225366.188652,-64172829830377.805,-64195203024309.85,-64139482282535.2,-63988927429417.52,-25662493363.638885,-17540261347.628292,7148821506.5390625,-25662493363.625,Distribution,0.4,-0.7027239850083277,,,,,56.981958209392225,49.04250240797151,64.78912330723387
27767,2025-12-30,others - mining,341.42672413793105,0.0,375569.3965517242,-375569.3965517242,-64172830205947.2,-64188064680259.19,-64165466556577.766,-64006542085303.04,-25984274042.55588,-17614655885.525497,7138344050.6640625,-25984274042.5625,Distribution,0.3,0.06652519805918056,Mining,High,Hilirisasi pertambangan,Ekspor produk olahan meningkat,46.93933978086054,53.06987357238398,60.768074906751096
28479,2025-12-30,others - miscellaneneous industry,229.4909862586781,1300599527.5524209,3408962836.3193297,-2108363308.766909,-64174938569255.97,-64181316806528.9,-64188815187048.77,-64024495045340.23,-23348630471.010143,-17952960037.18002,6747873730.2890625,-23348630471.007812,Neutral,0.3,-0.8409205814335425,,,,,49.850627299065735,47.3870401261045,50.05369350495792
29191,2025-12-30,"others - trade, services & investment",688.2320169288312,11117420528.35036,9209694340.564991,1907726187.7853699,-64173030843068.18,-64174165500878.625,-64188629471974.336,-64042365746353.85,185715074.43046677,-17870701013.62167,7151305650.2734375,185715074.4375,Accumulation,0.4,-0.5937279292118021,Retail & Services,Medium,UMKM dan perdagangan dalam negeri,Digitalisasi 100% UMKM,47.53790821415417,58.94694459042758,48.92846576910073
29903,2025-12-30,pharmaceuticals,1213.1070713389738,20505364421.990005,27480179156.09005,-6974814734.100044,-64180005657802.28,-64174727021290.29,-64188539433553.336,-64060584998030.79,90038421.00087842,-18219251676.943584,-561520411.6640625,90038421.0,Accumulation,0.4,-0.32034587096688094,Healthcare,High,Program kesehatan masyarakat,Eliminasi TBC dan malaria,58.13751759167957,47.46949585460324,49.67512725101551
30615,2025-12-30,plantation,2702.317902906042,36552383512.406685,29523401134.436363,7028982377.970322,-64172976675424.31,-64174756390299.586,-64184979707304.73,-64078452800588.836,3559726248.6174927,-17867802558.045067,-29369009.296875,3559726248.609375,Accumulation,0.5,0.5336700818587998,Agriculture,High,Food estate dan bioenergi,4 juta ha perluasan sawah,47.73922927616748,46.89769698821076,54.72250162091503
